id,value,category
1,-0.6274594841417847,B
2,0.6197847669141422,A
3,0.712385650219885,A
4,-1.9986418422252918,B
5,-0.9177788072669417,C
6,-0.29547146498054044,B
7,-0.5796081883442787,C
8,0.8039571136208821,A
9,0.37328069420177484,A
10,0.74230649201426,A
11,-0.3824305526666101,B
12,-1.3338779659650415,C
13,-0.9597472039402303,B
14,0.9114446465584164,C
15,-0.5926882093147803,B
16,1.094127306471123,C
17,-0.320053846803208,B
18,0.03735301822762378,B
19,0.26214799907140546,C
20,-0.21528151551122335,B
21,0.1469181640776848,A
22,-0.9975546705909247,B
23,-0.5324587775991304,C
24,-0.12841791355522914,C
25,-0.6661374701268414,A
26,1.279869492963716,C
27,-0.5649716667165751,B
28,-0.6112938016183846,A
29,-2.2669165693874014,B
30,-1.2242317273111751,C
31,0.9433130635350845,C
32,1.1211570995989562,C
33,-1.7021905792947896,B
34,0.8010548085637407,B
35,-0.34106211741473613,A
36,-0.5096506310845194,B
37,-0.8652116850439724,A
38,-1.0151659604893435,A
39,0.04973948560010483,B
40,-2.219528096054009,A
41,-0.13515266731320313,C
42,0.31354233718830277,C
43,-0.6576066732005419,C
44,0.6467318237173878,C
45,-0.8458195143569419,A
46,0.6516565970659371,B
47,0.0911494217259467,A
48,-1.11775545795689,B
49,0.4983168867652903,C
50,2.3835447661589857,B
51,-0.7503926819374213,C
52,1.63980295505888,C
53,-0.5018260706196968,A
54,-0.12937174465431683,A
55,-0.8165214299828992,A
56,-0.9829948058193504,B
57,0.26024850590547033,B
58,0.4922485901814925,B
59,-1.72655931709084,B
60,-1.288972818074322,C
61,-0.4478141234444186,B
62,0.7661607484659164,A
63,-1.4185461889676982,B
64,-0.9028467720849589,A
65,-0.5329348549094826,A
66,0.8248940177379778,C
67,0.5294582748786548,A
68,-0.7004794189323512,A
69,0.8414085102182494,B
70,-0.03685586854973686,B
71,-0.6451259283418832,A
72,-1.4988583156582806,C
73,-0.09610220531161141,B
74,1.7955492913834914,C
75,0.1692104264443578,B
76,0.6624883529829592,C
77,0.19099726329739464,A
78,-2.1848205120848454,A
79,-1.6332641846970988,A
80,1.2098120969831148,C
81,-0.8974391822533888,C
82,-0.0017424567721101888,C
83,-0.6452269926935061,B
84,-0.7152308441020819,A
85,-1.0170781213564044,B
86,-0.06254071960616314,A
87,3.601162774407445,A
88,-0.6731265894478473,A
89,0.20666017445911028,A
90,-0.6388904531527454,C
91,-0.5387086415724993,B
92,0.5393714037007172,C
93,0.42122249624572344,C
94,-0.3404761709829633,A
95,-1.198918115091398,C
96,-0.938442349968117,B
97,-0.3437918813182428,A
98,0.610153068815616,C
99,0.3540614455645418,B
100,0.7304725466042556,A
101,-0.05786115174682075,B
102,-1.0728836235028723,B
103,0.6070381768189175,A
104,-2.286541096735778,C
105,-1.9221980479346679,C
106,-1.7764686133858354,C
107,0.3353768463238008,A
108,0.850889613408833,B
109,-1.0109180786465777,B
110,-1.01178103006021,B
111,1.8027589642311757,A
112,1.2494659259755851,B
113,0.4504112538811182,B
114,-0.2571489027878954,B
115,-0.6026012412132431,B
116,1.6083117333086197,B
117,-1.231667765527729,A
118,-1.827920495836412,B
119,0.4259277483608445,B
120,-0.07641931126846484,B
121,-0.17626950866638721,A
122,1.372334284190366,A
123,0.28795840349882373,C
124,-0.09829661339143692,A
125,0.8237441582418799,A
126,-0.22030325547489363,A
127,1.4988323925049307,B
128,-0.8241870688040225,C
129,0.9739995846955235,A
130,-1.2226643047031005,C
131,0.03729334722280403,A
132,0.44647933939871254,A
133,-0.46748781836580616,B
134,-0.4292683570350599,B
135,-0.4257680176821549,A
136,-0.7112330850848798,C
137,-0.39498948914713566,C
138,0.1843082438633094,A
139,0.07833445054535497,C
140,-0.12008133446919861,A
141,-1.01760409856258,B
142,0.06109302589370035,C
143,-0.22393177178507537,B
144,-0.34434903076963597,A
145,0.6123959873128404,B
146,0.7809566484524072,A
147,0.15306081906386734,A
148,-0.9500018134715325,C
149,1.5256513239220233,A
150,0.6727171642865267,C
151,0.6452512456981371,B
152,-0.10860622250639208,A
153,0.6228097696757141,A
154,0.047982473703805574,A
155,-0.5199093714751715,C
156,-1.120460828888904,A
157,0.5288209160361805,C
158,1.1456314200507793,B
159,1.448097361350353,A
160,0.6785341985497579,B
161,1.332794185824128,A
162,0.31395055241517444,B
163,-1.0805977333063301,C
164,-0.03168513317997181,A
165,0.5915451198997067,B
166,0.9076449559966061,C
167,-0.5590674222734995,A
168,-0.7909625355017471,C
169,-0.7177387724031064,A
170,-0.7646819054219663,B
171,0.32001971888660685,C
172,1.0497191006648756,B
173,1.0029511047192632,A
174,-0.9009984788347697,B
175,0.9786051662873646,B
176,-1.3915022944151882,A
177,0.4015649540324741,B
178,-1.8732885102240366,A
179,1.540960651615546,C
180,-1.1308657937608642,A
181,-1.2785868493646246,B
182,0.631267681103571,A
183,0.07684108501434098,B
184,-0.6327959978894822,B
185,-0.5489213386858794,C
186,1.1541285052364716,A
187,0.09597366064936182,C
188,-0.8454829832766461,A
189,-1.1564098846383812,B
190,0.3883679767824346,C
191,-0.7000029813052177,B
192,-0.6590708093453574,C
193,0.5065672110243168,A
194,-0.29161807268997636,C
195,1.098488449322728,B
196,-1.1187065548489126,B
197,-0.6447372842625864,C
198,-0.9617570859458537,B
199,1.1729522641343655,C
200,1.1393020119916297,A
201,0.3300566765336772,C
202,-0.07968804511738026,A
203,-0.025225026597399766,B
204,-0.27807800004587335,C
205,0.8882420023872488,B
206,-0.7721667039838527,A
207,0.2424339574886792,C
208,0.5405682483676779,C
209,-0.787048310798136,A
210,0.07626030455459211,B
211,-0.09634135062170554,C
212,1.0369538900819337,B
213,0.28633469055364297,A
214,-0.8017370263973914,A
215,-0.13940060828252346,A
216,-1.6187036140753182,C
217,-0.8138060908226266,A
218,0.40859683362829086,A
219,1.6349304805220128,B
220,0.6677844078655589,B
221,0.012479528099515023,C
222,-0.21278561511390665,C
223,-0.3028122150740745,A
224,0.27181253617993084,C
225,0.8139161861987685,A
226,0.8892963897314028,C
227,-0.9035043732047171,B
228,-0.338667035809513,C
229,0.14956908210166808,A
230,0.5496601410650058,C
231,-0.7317980813917967,C
232,-0.37527285253809867,B
233,-0.9404028649702549,B
234,-1.1265544190779107,B
235,-0.35165814859324535,C
236,-0.02758732337627597,B
237,1.724962831958377,A
238,0.20426286250740672,C
239,-1.4706581061004949,C
240,0.46559336179038485,A
241,-0.03563461558039553,B
242,0.5099314592013694,C
243,-0.18793246492662108,C
244,0.03049771185186257,B
245,-0.24416808301814316,A
246,-1.3217647245211983,A
247,1.5562249866480184,A
248,0.3941759514548255,C
249,1.30983822359108,C
250,-0.06067312904005067,B
251,-0.9423623700723999,C
252,0.8161737844999697,A
253,-1.9161003378210402,A
254,-0.09240943195307202,B
255,1.4713321806714748,A
256,-0.7713886550620036,A
257,-0.5974343662839185,C
258,0.9165856796164101,A
259,-0.032916162805579165,A
260,0.26857675097439626,B
261,-0.6483607246969793,B
262,-0.9285473706154679,B
263,0.274427687295626,C
264,0.2903113231993224,A
265,2.3101621487767834,C
266,0.10908233461816809,A
267,-1.472936256764993,B
268,-1.1436597989786126,C
269,-1.6607467670883362,B
270,-0.4628869085709913,A
271,1.8316711387289633,B
272,0.6992053052828121,B
273,-0.10410950145077091,B
274,0.18050470402501545,B
275,1.3297506508112393,B
276,-0.40978084155619454,B
277,0.42591447322008696,C
278,0.22571521011114234,A
279,0.347169530426583,B
280,-1.060933522536379,C
281,0.8506308164279567,B
282,-1.4163183017327001,B
283,-0.4411235717192129,A
284,-1.2481879574157033,A
285,2.2871082222961086,C
286,0.40272900643586157,C
287,0.1786024168274777,C
288,1.0163119690736535,A
289,1.6195100481881028,C
290,0.525928819463009,A
291,0.26568632277174564,C
292,-0.6049928187084535,A
293,-0.6287079235523398,C
294,1.3352427174467352,A
295,0.9949530429059267,A
296,-0.549716710783877,A
297,-2.2528178953085103,A
298,0.9007208380383959,C
299,0.12610831298641598,B
300,-1.156242509748453,B
301,-0.4920406916885388,B
302,-1.5733275845498573,B
303,-0.26984723468512134,A
304,-0.7627115465064455,A
305,1.860741632567926,C
306,-1.192281247468738,C
307,-1.1496706104009362,C
308,-1.259554862439631,A
309,0.41197933742710724,A
310,-0.8800473968141224,B
311,1.3241964198851148,A
312,-0.29936553533106536,C
313,0.8119081770353143,B
314,-0.1347038532382812,C
315,0.5560319076294438,B
316,0.3624849283968453,A
317,-0.02709813934772557,C
318,-1.772695617739554,C
319,-0.476148396702746,C
320,1.276915349773219,C
321,-0.1626334090615282,A
322,1.3272051910346983,B
323,-0.810221845201568,B
324,1.3703660953860426,A
325,0.7269372405714513,A
326,1.845522558123214,A
327,-0.9142279711197135,C
328,1.1575181390850953,C
329,-0.5617858619177337,B
330,-0.2282056221141585,B
331,1.01810761597764,B
332,0.6228112241465447,A
